,Name,Cuisines,City,Rating,NumberOfReviews
0,Wakame ,"Japanese, Asian",Riyadh,4.9,20
1,Morini Italian Restaurant ,"International, Italian",Riyadh,4.5,18
2,Wakame ,"Chinese, Japanese",Jeddah,4.8,63
3,Il Baretto Italian Restaurant ,Italian,Riyadh,4.5,30
4,Vidro Lounge ,"Mediterranean, Middle Eastern",Riyadh,4.7,31
5,Tokyo Fine Dining Japanese ,Japanese,Riyadh,4.5,58
6,Pikniq Restaurant ,"International, French, Italian",Al Khobar,4.7,42
7,AOK Kitchen ,"Gluten Free Option, International",Riyadh,4.5,38
8,Entrecote Cafe de Paris ,Swiss,AlUla,4.7,20
9,Swiss Butter ,Steakhouse,Riyadh,4.5,25
10,Swiss Butter ,Steakhouse,Al Khobar,4.6,7
11,Suhail Arabic Restaurant ,"Arabic, Saudi",Riyadh,4.5,35
12,Rove By Mint ,"Italian, Mediterranean, Greek",Al Khobar,4.6,26
13,Swiss Butter ,Steakhouse,Riyadh,4.5,28
14,Daily Edition Cafe ,"Asian, International",Jeddah,4.6,24
15,Yauatcha Riyadh,Chinese,Riyadh,4.5,42
16,Entrecôte Café de Paris ,Swiss,Riyadh,4.6,27
17,Lusin Armenian Restaurant ,Armenian,Riyadh,4.5,41
18,Lusin Armenian Restaurant ,"Armenian, Turkish, Vegetarian",Al Khobar,4.6,18
19,Suhail Restaurant ,"Arabic, Saudi",AlUla,4.5,12
20,Swiss Butter ,Steakhouse,Riyadh,4.6,19
21,Swiss Butter ,Steakhouse,Jeddah,4.5,25
22,Lotus Restaurant ,"Chinese, Japanese, Asian",Riyadh,4.5,28
23,Early Club ,,Jeddah,4.5,19
24,The Morning Call ,"Breakfast, Brunch",Jeddah,4.5,14
25,Bouna Sera ,"Cafe, Coffee & Tea, Desserts",Makkah,4.5,12
26,Brooklyn ,American,Jeddah,4.5,6
27,Al Shurfa Lounge ,"Cafe, Coffee & Tea, Desserts",Jeddah,4.5,10
28,Al Faiha Restaurant ,"Asian, International, Vegetarian",Makkah,4.5,5
29,Down Street Cafe and Diner ,"Bakery, Cafe, Coffee & Tea",Al Khobar,4.5,2
30,Leo Cafe ,"Cafe, Coffee & Tea, Desserts",Makkah,4.5,2
31,Elemental ,International,Riyadh,4.5,14
32,Mazaq Cafe ,"Cafe, Coffee & Tea, Fine Dining",Makkah,4.5,2
33,JW Steakhouse ,"Fine Dining, Steakhouse",Riyadh,4.5,12
34,The Capital Lounge ,International,Riyadh,4.3,16
35,Upper Burger ,American,Jeddah,4.5,11
36,SO Fleur ,"French, Mediterranean",Riyadh,4.3,8
